objectid,filename,filename_new,transcript,title,title_new,description,subject,interviewees,creator,format,musicians,image,image-link,image-attribution,image-title,interviewdate,date-is-approximate,downbeat1,downbeatdate1,page,vol_iss,downbeat2,downbeatdate2,page2,vol_iss2,source,notes1,notes2
blindfold001,lf.iv.bft_adderley,adderley,adderley,The Adderley Brothers Blindfold Test,The Adderley Brothers Blindfold Test,,,"Nat Adderley and Julian ""Cannonball"" Adderley","Feather, Leonard",audio/mp3,"Adderley, Nat; Adderly, Julian ""Cannonball""",adderley,https://digital.lib.uidaho.edu/digital/collection/lfc/id/173/rec/1,University of Idaho Leonard Feather Collection,"Nat Adderley and Julian ""Cannonball"" Adderley",,,"1962-04-12, 29(8), p. 36",1962-04-12,36,29/8,"1962-04-26, 29(9), p. 43",1962-04-26,43,29/9,University of Idaho Leonard Feather Collection,Current dates are for adderly brother's interviews only,The transcript ends at 24:30 but after that there is a recording of the radio and then another interview starts. I can't find the transcript/file for that half.
blindfold002,lf.iv.bft_blakey,blakey,blakey,Art Blakey Interview & Blindfold Test,Art Blakey Blindfold Test,,,Art Blakey,"Feather, Leonard",audio/mp3,"Blakey, Art",blakey,https://commons.wikimedia.org/wiki/File:Art_Blakey_KJAZ.jpg,Brianmcmillen / CC BY-SA ,Art Blakey,,,"1962-09-13, 29(24), p. 37",1962-09-13,37,29/24,,,,,University of Idaho Leonard Feather Collection,Current dates are for Blakey only,
blindfold003,lf.iv.bft_blakey,ellis,ellis,Herb Ellis Blindfold Test,Herb Ellis Blindfold Test,,,Herb Ellis,"Feather, Leonard",audio/mp3,"Ellis, Herb",ellis,https://commons.wikimedia.org/wiki/File:Herb_Ellis.jpg,Vernon Hyde / CC BY-SA ,Herb Ellis,,,"1962-09-13, 29(24), p. 37",1962-09-13,37,29/24,,,,,University of Idaho Leonard Feather Collection,"No Downbeat article found for this, so no music",
blindfold004,lf.iv.bft_brown,brown,brown,Oscar Brown Blindfold Test,Oscar Brown Blindfold Test,,,Oscar Brown,"Feather, Leonard",audio/mp3,"Brown, Oscar",brown,https://commons.wikimedia.org/wiki/File:Oscar_brown_jr_1965.JPG,CBS Television / Public domain,Oscar Brown,,,"1962-10-11, 29(26), p. 43",1962-10-11,43,29/26,,,,,University of Idaho Leonard Feather Collection,,Seems like the transcript cuts off early (transcript goes about 16 min but audio goes almost an hour and it sounds like same man)
blindfold005,lf.iv.bft_desmond,desmond,desmond,Paul Desmond Blindfold Test,Paul Desmond Blindfold Test,,,Paul Desmond,"Feather, Leonard",audio/mp3,"Desmond, Paul",desmond,https://commons.wikimedia.org/wiki/File:Portrait_of_Paul_Desmond_holding_saxophone_with_backdrop_of_sheet_music_LCCN2004662793.tif,Carl Van Vechten / Public domain,Paul Desmond,,,"1958-10-16, 25(21), p. 43",1958-10-16,43,25/21,,,,,University of Idaho Leonard Feather Collection,,
blindfold007,lf.iv.bft_gumina,,gordon,Dexter Gordon Blindfold Test,Dexter Gordon Blindfold Test,,,Dexter Gordon,"Feather, Leonard",audio/mp3,"Gordon, Dexter",gordon,https://digital.lib.uidaho.edu/digital/collection/lfc/id/587/rec/2,"University of Idaho Leonard Feather Collection; Copyright Herman Leonard Photography, LLC. All rights reserved.",Dexter Gordon,,,"1965-05-20, 32(11), p. 31",1965-05-20,31,32/11,,,,,University of Idaho Leonard Feather Collection,,
blindfold008,lf.iv.bft_hendricks,,hendricks,Jon Hendricks Blindfold Test,Jon Hendricks Blindfold Test,,,Jon Hendricks,"Feather, Leonard",audio/mp3,"Hendricks, Jon",hendricks,https://commons.wikimedia.org/wiki/File:Jon_Hendricks_0157.jpg,Atael Weissman / CC BY ,Jon Hendricks,,,"1960-02-18, 27(4), p.39",1960-02-18,39,27/4,,,,,University of Idaho Leonard Feather Collection,,
blindfold009,lf.iv.bft_hendricks,,zetterlund,Monica Zetterlund Blindfold Test,Monica Zetterlund Blindfold Test,,,Monica Zetterlund,"Feather, Leonard",audio/mp3,"Zetterlund, Monica",zetterlund,https://digital.lib.uidaho.edu/digital/collection/lfc/id/251/rec/2,University of Idaho Leonard Feather Collection,"Monica Zetterlund, Leonard Feather, and Dinah Washington, in Stockholm",,,"1960-02-04, 27(3), p. 31",1960-02-04,31,27/3,,,,,University of Idaho Leonard Feather Collection,,
blindfold010,lf.iv.bft_jones,,russell,George Russell Blindfold Test,George Russell Blindfold Test,,,George Russell,"Feather, Leonard",audio/mp3,"Russell, George",,,,,,,"1961-01-05, 28(1), p. 43",1961-01-05,43,28/1,,,,,University of Idaho Leonard Feather Collection,,
blindfold011,lf.iv.bft_kenton-holiday,,kenton,Stan Kenton Interview & Blindfold Test,Stan Kenton Blindfold Test,,,Stan Kenton,"Feather, Leonard",audio/mp3,"Kenton, Stan",kenton,https://commons.wikimedia.org/wiki/File:Stan_Kenton_2.JPG,Hans Bernhard / CC BY-SA ,Stan Kenton,,,"1966-09-22, 33(19), p. 43",1966-09-22,43,33/19,,,,,University of Idaho Leonard Feather Collection,,
