speaker,words,timestamp
"[Plays ""Brass Bag"" by Tricky Lofton, from Brass Bag, Pacific Jazz Records (1962). Personnel: Tricky Lofton: trombone; Gerald Wilson: composer, arranger.]",https://www.youtube.com/watch?v=9DnKC_KnHzU,
Oscar Brown,Now I'm supposed to say who that was huh?,00:00:08
Leonard Feather,"Well, if you think you know who it was but the important part is what you think of it.",00:00:10
Oscar Brown,"Well now... the use of the french horns in that... that horn sounded like things that Quincy... elements that Quincy likes to work with. Some of it didn't... it wasn't operated the way I heard Quincy do it. He gets one of those shrieks with his horn sounding, you know ""weee"". I think but I grew up with 'big bands', when I was in Chicago they used to have Basie and Ellington and Munsford and Hives and they had tons of them and Benny Goodman and everybody would come through town and so I have done 'big bands' and this is a modern 1962 'big band' sound that, I dig. I like the way the... I like the organization of the piece. It's returned... it's coherent all the way through you know, getting lost in it in a sort of subjective maze. They keep bringing you back to a point of reference from which they take you off and the solos are tasteful and swinging and I like that very much. I think that I'd like to hear that done more and more you know. I like to hear organized jazz in the sense of taking a scene and following it through to its logical, organized possibilities you know?",00:00:23
Leonard Feather,Yeah.,00:01:44
Oscar Brown,"People who say that jazz has to be all improvisation, this is a- it's not true. Jazz has big bands and its always been a combination of both. They weren't all just sitting there improvising, they would improvise at certain points. You'd have your solo flights which would be a gas-",00:01:45
Leonard Feather,"Yeah, be a balance between the two.",00:02:04
Oscar Brown,And I would like to see jazz do that even in larger works you know? And I like this.,00:02:05
Leonard Feather,"Do you know the rating system? Five is the top, four is very good, three is good, two is fair and one is mediocre.",00:02:10
Oscar Brown,"Well, you know I say five, gold.",00:02:17
Leonard Feather,"Careful, you might want to save the five for something even better you know?",00:02:20
Oscar Brown,Well.,00:02:23
Leonard Feather,"Cause four means very good, five means sensational.",00:02:24
Oscar Brown,"Well, all right, I'll be conservative and say four.",00:02:29
Leonard Feather,So.,00:02:32
"[Plays ""Day by Day"" by Joe Williams, from Sentimental and Melancholy, Roulette Records (1961). Personnel: Joe Williams: vocals.]",,
Oscar Brown,"Whoever that is has a rich kind of nice voice. And I like the arrangement of that, it's a... It doesn't say anything sensational to me.",00:02:43
Leonard Feather,No.,00:03:01
Oscar Brown,"It's you know, a love song rendered tastefully enough.",00:03:05
Leonard Feather,Conventional.,00:03:11
Oscar Brown,"Right. Mike, I don't know who the singer is.",00:03:12
Leonard Feather,"Well, it's somebody you know.",00:03:16
Oscar Brown,O.C... O.C. Smith has that kind of voice but I haven't heard- I'm not familiar enough with him.,00:03:19
Leonard Feather,Yeah.,00:03:25
Oscar Brown,"It's a good, strong voice. I'd like to hear him do some more, pardon the expression, ballsy material.",00:03:29
Leonard Feather,"Yeah, yeah. So, well he used to play... Before I say, you want to rate it, what'd you give it, two fair?",00:03:36
Oscar Brown,"Um. Well, three. It's good for what it is, as far as it goes.",00:03:43
Leonard Feather,It's Joe Williams.,00:03:52
Oscar Brown,Really?,00:03:54
Leonard Feather,Yeah.,00:03:54
Oscar Brown,"Why you know, it sounds like somebody imitating... it sounds like somebody who is close to Joe Williams but not Joe Williams.",00:03:57
