speaker,words,timestamp
[Jon Hendricks Blindfold Test begins at 16:10],,
"[Plays ""A Bunch of the Blues"" by Mel Torme with the Mel-Tones, from Back in Town, Verve Records (1960). Personnel: Art Pepper: tenor saxophone; Jack Sheldon: trumpet.]",https://www.youtube.com/watch?v=mvx6YAOjzYw,
Leonard Feather,Now.,0:05
Jon Hendricks,"A potpourri of the blues, yeah. I heard Sweets' centerpiece. I heard Let it roll, and I don't know who that was playing saxophone, but that no bar modulation was a gas. Good trumpet. Good rhythm section. Good group. It's beautiful. Yeah, I like this. I'd like to hear more of this kind of thing, by groups. I don't know who it was. I don't know who any of the people were on the date. But they were good musicians and good singers. They sang in tune. Four stars.",0:24
"[Plays ""Stop the World, I Want to Get Off"" by Ronnie Scott and Tubby Hayes, from Couriers of Jazz, Carlton Records (1958). Personnel: Tubby Hayes: vibes.]",https://www.youtube.com/watch?v=pp4INzHOfS8,
Jon Hendricks,"Hmm. Yeah. Stubborn blues. I liked that thing they did on the last four bars. It kind of had an Oriental feeling to it, on the last four there. I don't know who that was on vibes. Sound like Bags, but I don't think so. I don't know who any of the other cats were. But it was pretty. Four stars.",0:54
Leonard Feather,Okay.,1:27
Jon Hendricks,Who was that?,1:30
Leonard Feather,"I mean, what school would you say it was? Who does it sound like? East coast or West coast?",1:31
Jon Hendricks,No.,1:48
Leonard Feather,What type of music would you classify it as?,1:49
Jon Hendricks,"Yeah, I wouldn't know. Because, if I say West coast, it might have been done right in New York. If I say New York it might've been LA.",1:54
Leonard Feather,Yeah.,1:59
Jon Hendricks,Could have been anything. The blues.,1:59
Leonard Feather,"But, it sounds authentic?",2:01
Jon Hendricks,Hmm. Cause it was...,2:05
[Plays unknown song],,
Jon Hendricks,"That had a nice feel to it. Whoever that was playing that clarinet had a pretty tone, reminded me something of Artie Shaw. Sounded like his tone. And that was a nice tune too, nice set of changes. But I have no idea who it was. Well done too. Nice arrangement. Well played. That was good. Give it four stars.",2:05
Leonard Feather,Four?,2:42
Jon Hendricks,Yeah.,2:43
[Plays unknown song],,
Jon Hendricks,"That's interesting. There was somebody in that, Anita O'Day, June Christy, Chris Connor school. I don't know who. Might've been.... Let me see. Could have been Chris. See that was a Frank Sinatra tune. Pretty lately. I don't know who that was. Can I know who that is?",2:48
Leonard Feather,What did you think of the singing first?,3:15
Jon Hendricks,"Except for that one part there, it was in tune. Nice arrangement too. I liked it. Give it three stars, but I wish I knew who it was. Who was that?",3:18
