speaker,words,timestamp
[Plays unknown song],,
Leonard Feather,Okay.,0:11
Johnny Mandel,I really have no idea who this is.,0:24
Leonard Feather,Sit back. It picks up-,0:25
Johnny Mandel,It picks up good.,0:27
Leonard Feather,Sit back and relax.,0:28
Johnny Mandel,All right.,0:29
Leonard Feather,Now we can go to work.,0:32
Johnny Mandel,"It sounds like it could be one of Cannonball's dates with about a nine or 10 piece band. I've never heard it before. Sounds like it's recorded in a bucket, like most of the records that are made.",0:35
Leonard Feather,You think the general sound of recording is that low?,0:52
Johnny Mandel,"Yeah, I really do. I think that as far as I know, as far as recording bands or anybody, I haven't heard anyone yet who records sound nearly as well as Larry Elgart. I'll probably make a lot of enemies saying that, but-",0:54
Leonard Feather,What else he's going to play then?,1:08
Johnny Mandel,It doesn't sound natural ever. It sounds like playing a piano with a loud pedal constantly pressed down with all the echo they have. There must have been a two or three second hangover on this.,1:10
Leonard Feather,Yeah. Fine.,1:19
Johnny Mandel,"Gee, I don't know who half these people could have been. Baritone, could have been Cecil Pane. The trombone played fast enough to sound like either like Jimmy Cleveland or Frank Rosolino, but it didn't sound quite like either, probably more like Cleveland. Sounded too clean. I don't know quite who it could've been. The alto sounded quite a bit like Cannonball, but it also could have been Gene Quill. Now the trumpets, first one sounded like Nat Adderley to me. The second one sounded like Ernie Royal. That's about all I can tell you.",1:24
Leonard Feather,How about the writing and the performance?,2:03
Johnny Mandel,"Both of them were pretty ragged, I thought.",2:08
Leonard Feather,Yeah.,2:11
Johnny Mandel,"Should I say, I don't think the writing was done justice too.",2:12
Leonard Feather,Yeah.,2:15
Johnny Mandel,And I really don't know who this was.,2:15
Leonard Feather,"You know the rating system, five is sensational, four very good, three good, two fair, one lousy.",2:19
Johnny Mandel,I'd give it three.,2:28
Leonard Feather,Good.,2:31
Johnny Mandel,"Potentially, it could have been much better.",2:34
Leonard Feather,Yeah.,2:36
"[Plays ""Mobile Blues"" by Jack Teagarden, Capitol Records (1958). Personnel: Jack Teagarden: trombone; Jerry Fuller: clarinet; Dick Oakley: trumpet; Don Ewell: piano; Ronnie Greb: drums; Stan Puls: bass.]",,
Johnny Mandel,You rolling?,2:59
Leonard Feather,Yeah.,3:00
Johnny Mandel,"Oh, well this one threw me too. It sounded like it was just recently made. It sounds like it could either be Peanuts Hucko or Sol Yaged, probably Peanuts. I don't know though.",3:01
Johnny Mandel,"These I don't recognize either. As far as piano is concerned, I'm really thrown. It could have been Jean Schrader, could have been a couple of people. I didn't recognize the rhythm section or the trumpet player. Trombone could have been Cutty Cutshall and the trumpet was not Pee Wee Ervin, but I don't know who it was.",3:20
Johnny Mandel,"The trumpet player I'd say was the weakest one of the bunch. He didn't sound like anybody I knew like Pee Wee or Wild Bill or amongst you anybody like that. This kind of sounded like a second string. Of course, I really don't know who it was and the drummer didn't sound like he was at home either.",3:52
Leonard Feather,Did you mention the trombone?,4:12
Johnny Mandel,Cutty Cutshall is who I thought it may have been. That's about it.,4:17
Leonard Feather,Yeah.,4:21
Johnny Mandel,"Piano, I'm really thrown on. I don't know who this is. I know the style. He's got some Teddy Wilson in him, I just can't place quite who it is.",4:22
Leonard Feather,What would you think of that? I mean that class of performance it represents?,4:30
Johnny Mandel,"I think it's a very jaded, it feels to me like they're playing something they don't quite... Like they're going through the motions.",4:35
Leonard Feather,Yeah.,4:42
Johnny Mandel,"It's pretty hard to find good practitioners of this music anymore. I don't know why, I guess the enthusiasm's gone out of it. It's a shame, but I have to always turn to the older records-",4:43
Leonard Feather,That's true.,4:57
Johnny Mandel,... to hear something I enjoy of this sort. I don't know. This sounds like it was just like they were going through the motions to me.,4:58
Leonard Feather,Yeah. What would you give it? One?,5:06
Johnny Mandel,Yeah.,5:08
Leonard Feather,One star. Okay.,5:11
Johnny Mandel,One star.,5:12
"[Plays ""Wonderful Thing"" by Count Basie, Victor Records (1949). Personnel: C.Q. Price: composer; Harry ""Sweets"" Edison: trumpet; Freddie Green: guitar.]",,
Leonard Feather,Ever heard that before?,5:14
Johnny Mandel,"No, I think you're really throwing the book at me today. Well, right off there's no question if that was Basie on top, as far as the piano player was concerned and it sounded like it could have been Freddie also with him, Freddie Green. Trumpet was Sweets, no question about that. It sounded like it might've been one of the Sweets' tunes too and it sounded like there wasn't an alto involved in this thing at all, it's tenor lead. The chart I'd say was terrible and the recording sound was bad enough to even be Norman Granz, who I think has probably put the worst sound on records ever made, with probably the best talent involved. Well, I'm not going to make friends this time.",5:15
Leonard Feather,"Well, you're being honest, which makes friends.",6:14
Johnny Mandel,"Well, you usually have to take your choice of one of the two.",6:15
Leonard Feather,You're so right? Please do that.,6:18
Johnny Mandel,"That's about the best I could put my finger on. I'm sure that was Basie, and I'm sure that was Sweets. That's about all I know. I know it was an A flat.",6:21
Leonard Feather,Yeah. Rating?,6:32
Johnny Mandel,One star... Two stars and one of them because Basie was on it.,6:37
Leonard Feather,Yeah.,6:44
"[Plays ""Tootsie"" by Count Basie, Columbia Records (1950). Personnel: Count Basie: piano; Clark Terry: trumpet; Wardell Gray: tenor saxophone; Buddy DeFranco: clarinet; Freddie Green: guitar; Gus Johnson: drums.]",,
