speaker,words,timestamp
"[Plays ""Conversation"" by the Modern Jazz Quartet and Beaux Arts String Quartet, from Third Stream Music, Atlantic Records (1960). Personnel: Gunther Schuller: composer.]",,
George Russell,"I have to say first and well Leonard obviously that's, a Gunther Schuller composition for the MJQ conversations and it is a piece of music with substance and... Are we on?",0:08
Leonard Feather,Yeah.,0:37
George Russell,Essentially I'm against commenting on any piece of music and especially one with substance after the first hearing. You know?,0:38
Leonard Feather,I do.,0:51
George Russell,"And that is in principle. So, I'm actually in principle against commenting on any music after just hearing it one time. But I can give you my general impressions.",0:56
Leonard Feather,"Yeah, your emotional reactions.",1:09
George Russell,"My emotional reactions. I thought it was very interesting in terms of color, instrumental color. I frankly reacted more to it at the times when the quartet was allowed to play without interruption. However, that may be because the other parts were not as accessible as the free swinging or it's now-",1:12
Leonard Feather,You mean on first hearing.,1:52
George Russell,"On first hearing. And... Also I get... Well, it was the part that I could pat my foot too that reached me. And yet the other parts, although they were very interesting in terms of color... Both harmonic color and instrumental color, it didn't strike me as particularly profound in terms of Berg, Alban Berg.",1:53
Leonard Feather,How about the writing for strings or the integration of the strings with the group?,2:41
George Russell,"There were parts when I thought it was really ingenious and that was during the non jazz parts. But, in the jazz parts, I thought it was a little bit... I don't know, but the composer probably intended, since the piece is Conversations, for there to be this conversation between the classical strings and the modern jazz quartet in jazz. A little bit like an atonal Dave Rose or something.",2:52
Leonard Feather,That's a funny thought. That's a very funny way to-,3:38
George Russell,"And I'd have to use your quote about the third stream which I think is excellent. You just mentioned that if you put two precious stones on a bracelet, a ruby and a pearl, they don't necessarily form a third jewel. That's my impression.",3:38
Leonard Feather,"I guess you'll pass on rating it because on one hearing you can't rate it, can you? Or can you?",4:02
George Russell,"I have too much respect for the composer and the quartet to rate it, really.",4:06
"[Plays ""Dance of the Floreadores"" by Duke Ellington, from Nutcracker Suite, Columbia Records (1960). Personnel: Ray Nance: trumpet; Lawrence Brown: trombone; Billy Strayhorn: arranger.]",,
George Russell,Ellington's sense of music of buffoonery is incomparable. You can quote me on that.,4:13
Leonard Feather,I'm quoting you.,4:20
George Russell,"The way he... Manages to... Inject wit and humor into music and still make it valid musically is one of his great, great talents.",4:27
Leonard Feather,You have any feelings...,4:56
George Russell,And I think he was turning on the Viennese composers and it was marvelous. I loved the Ray Nance thing and I liked the little vamp that started the piece off and I like the Lawrence Brown. It sounded like Lawrence Brown.,4:58
Leonard Feather,"Yeah, true, huh?",5:17
George Russell,"Coming hello, how are you? I liked the piece very much. I never got such a rise out of a piece of music for a long time and only Ellington could probably do it and still swing. And I'd never give Ellington under, what is it, five stars?",5:18
Leonard Feather,Five stars. Yeah. I'm sure.,5:48
George Russell,Never under on anything.,5:49
"[Plays ""Flowers for the Cats"" by Shorty Rogers, from The Swingin' Nutcracker, Victor Records (1960). Personnel: Shorty Rogers: arranger.]",,
George Russell,I liked the trumpet players' sound. I wouldn't know who it was. The arrangement was very professional... Clever.,5:57
Leonard Feather,What was the treatment of that theme compared with Ellington's?,6:17
George Russell,"Oh, there would be no comparison. First of all, the soloist with Ellington seemed to understand the nature of Ellington's humor and has that rapport between soloists and leader with Ellington that you don't have. So, the soloist fell into the humorous thing on the Ellington thing and this is just a professional treatment of, it sounded like a studio band, professional treatment of an old standard of some kind. Sounds rather flat to me. Just flat. Could be wrong.",6:28
Leonard Feather,What would you give it? Two?,7:28
George Russell,Yeah. No more.,7:29
"[Plays ""Everybody's Blues"" by Quincy Jones, from The Great Wide World of Quincy Jones, Mercury Records (1959). Personnel: Ernie Wilkins: composer; Julius Watkins: french horn.]",,
George Russell,The arrangement was a hybrid of Ellington and Basie. It was... Not a terribly distinctive arrangement. I was impressed with the trombone player's range and sound and facility... That's about all I have to say.,7:32
Leonard Feather,What would you rate it?,8:11
George Russell,It's Quincy Jones I imagine. Is it?,8:25
Leonard Feather,I'll tell you.,8:29
George Russell,"Well, don't quote me. Business arrangements. I'd say... What is it, one, two, three and four?",8:30
Leonard Feather,Two is fair. Three is good. Four is very good and five is exceptional.,8:45
George Russell,It was fair.,8:48
Leonard Feather,Two?,8:51
George Russell,Yeah.,8:53
"[Plays ""Poem For Brass"" by the Brass Ensemble of the Jazz and Classical Music Society, from Music for Brass, Columbia Records (1957). Personnel: J.J. Johnson: trombone, composer; Miles Davis: flugelhorn.]",,
George Russell,"It's a wonderful piece of writing. It's J.J.'s piece for brass on that Columbia album, which I understand is now out of the big catalog.",8:57
Leonard Feather,No kidding. I didn't know that.,9:11
George Russell,"Which is a ridiculous brass album. I like especially the fugue at the end and I think J.J. betrays in the pieces his love for Hindemith, especially Matthias... And it's one of my favorites.",9:13
Leonard Feather,Do you want to comment on any of the other individuals in it?,10:00
George Russell,"Miles played in it, didn't he? Oh wow. That was beautiful.",10:03
Leonard Feather,Did you like the overall form and content?,10:13
George Russell,"I liked especially the brass, the fugue at the end. If I remember the piece now correctly. There were some parts of it that if I... I do remember there were parts of it that didn't strike me as keenly as that fugue thing at the end and I thought in general it was a very wonderful piece of music actually. I'd rate it four stars.",10:19
